InvoiceDate,TotalAmount
2009-12-01,53173.03000000023
2009-12-02,62763.58999999987
2009-12-03,68093.04999999984
2009-12-04,40346.39999999997
2009-12-05,9803.050000000001
2009-12-06,24317.200000000063
2009-12-07,44337.02000000027
2009-12-08,43743.14000000001
2009-12-09,40396.55000000004
2009-12-10,43342.479999999814
2009-12-11,38424.919999999955
2009-12-13,22065.990000000107
2009-12-14,72898.23999999955
2009-12-15,47636.66000000011
2009-12-16,52681.20000000018
2009-12-17,29317.79000000009
2009-12-18,42371.08000000001
2009-12-20,11335.230000000016
2009-12-21,14576.07000000006
2009-12-22,27481.74000000001
2009-12-23,10742.680000000002
2010-01-04,13200.600000000039
2010-01-05,19102.34000000003
2010-01-06,8746.179999999997
2010-01-07,72307.92000000004
2010-01-08,29516.63
2010-01-10,23519.919999999995
2010-01-11,37492.38999999997
2010-01-12,40690.82999999994
2010-01-13,19399.929999999935
2010-01-14,28543.280000000068
2010-01-15,13298.540000000043
2010-01-17,17565.940000000024
2010-01-18,21343.229999999992
2010-01-19,32987.87100000004
2010-01-20,16739.509999999987
2010-01-21,26967.89000000005
2010-01-22,34695.19000000009
2010-01-24,16043.85000000006
2010-01-25,22803.36000000008
2010-01-26,45406.84000000007
2010-01-27,28480.379999999925
2010-01-28,19238.16000000002
2010-01-29,17491.980999999992
2010-01-31,18450.130000000045
2010-02-01,19265.290999999987
2010-02-02,21002.99000000003
2010-02-03,21308.250999999986
2010-02-04,22659.880000000114
2010-02-05,20801.159999999974
2010-02-07,16823.770000000008
2010-02-08,15989.819999999998
2010-02-09,19608.090000000007
2010-02-10,9094.519999999968
2010-02-11,14968.640000000018
2010-02-12,11324.410000000013
2010-02-14,17751.500000000055
2010-02-15,41091.23099999991
2010-02-16,30953.129999999896
2010-02-17,22702.460000000076
2010-02-18,34229.360000000015
2010-02-19,27122.470000000005
2010-02-21,9321.781000000008
2010-02-22,26219.150000000085
2010-02-23,22561.38000000005
2010-02-24,32811.29100000004
2010-02-25,45406.680000000015
2010-02-26,13268.20099999998
2010-02-28,16805.97000000005
2010-03-01,25388.740000000016
2010-03-02,25677.44
2010-03-03,33890.13000000016
2010-03-04,31611.530000000028
2010-03-05,27684.730000000072
2010-03-07,19811.720000000136
2010-03-08,36830.01000000001
2010-03-09,19386.95000000002
2010-03-10,27133.66000000001
2010-03-11,24480.91000000007
2010-03-12,21474.25000000004
2010-03-14,9019.950000000004
2010-03-15,27378.741000000027
2010-03-16,23093.649999999958
2010-03-17,30616.960000000036
2010-03-18,40624.749999999985
2010-03-19,23632.02999999997
2010-03-21,20596.790000000063
2010-03-22,24706.200000000004
2010-03-23,32491.97000000006
2010-03-24,27177.730000000072
2010-03-25,32476.160000000084
2010-03-26,31942.910000000014
2010-03-28,22548.32000000012
2010-03-29,59139.87999999999
2010-03-30,37586.00999999983
2010-03-31,29446.639999999963
2010-04-01,30247.54000000008
2010-04-06,19029.420000000027
2010-04-07,34510.15999999997
2010-04-08,47209.46999999989
2010-04-09,16721.709999999992
2010-04-11,19889.470000000034
2010-04-12,25998.331000000053
2010-04-13,24983.04000000012
2010-04-14,26613.80000000009
2010-04-15,19257.020000000033
2010-04-16,18065.740000000013
2010-04-18,23404.870000000097
2010-04-19,45004.0499999999
2010-04-20,24754.710000000017
2010-04-21,27666.080000000056
2010-04-22,35827.21999999998
2010-04-23,14758.220000000001
2010-04-25,16418.319999999996
2010-04-26,35836.400000000016
2010-04-27,45883.41000000012
2010-04-28,32458.6600000001
2010-04-30,28255.400000000016
2010-05-02,12033.880000000012
2010-05-04,21250.520000000004
2010-05-05,26828.560000000012
2010-05-06,52517.110000000044
2010-05-07,34942.80000000004
2010-05-09,23090.140000000014
2010-05-10,30412.309999999976
2010-05-11,28707.32000000007
2010-05-12,31284.61000000002
2010-05-13,28409.93
2010-05-14,11944.700000000017
2010-05-16,18132.550000000003
2010-05-17,24180.180000000095
2010-05-18,27392.34000000007
2010-05-19,17126.75000000008
2010-05-20,24073.21000000002
2010-05-21,26809.590000000106
2010-05-23,25039.430000000015
2010-05-24,34841.37999999998
2010-05-25,21740.810000000023
2010-05-26,35705.55999999998
2010-05-27,30880.76000000016
2010-05-28,17272.080000000013
2010-05-30,10706.31000000003
2010-06-01,15643.760000000004
2010-06-02,16132.870000000054
2010-06-03,27123.19000000005
2010-06-04,21220.379999999917
2010-06-06,25423.08000000012
2010-06-07,45335.8900000002
2010-06-08,51634.60999999995
2010-06-09,37543.74
2010-06-10,15602.330000000036
2010-06-11,33294.920000000035
2010-06-13,21480.840000000087
2010-06-14,23402.15000000005
2010-06-15,28232.779999999988
2010-06-16,31207.040000000092
2010-06-17,23993.610000000088
2010-06-18,18090.62000000003
2010-06-20,9100.680000000008
2010-06-21,21148.759999999984
2010-06-22,14665.080000000007
2010-06-23,27846.18999999995
2010-06-24,25088.889999999996
2010-06-25,17704.16999999998
2010-06-27,17571.82000000003
2010-06-28,45363.679999999746
2010-06-29,34569.21000000001
2010-06-30,31366.320000000072
2010-07-01,29951.800000000072
2010-07-02,16643.39000000002
2010-07-04,10485.710000000003
2010-07-05,32317.210000000126
2010-07-06,23299.09
2010-07-07,30244.53000000006
2010-07-08,18537.790000000026
2010-07-09,33758.27999999995
2010-07-11,7853.529999999986
2010-07-12,19601.000000000044
2010-07-13,20707.84999999999
2010-07-14,21401.58000000003
2010-07-15,51526.33999999994
2010-07-16,20483.33999999998
2010-07-18,15010.37
2010-07-20,24448.920000000016
2010-07-21,21555.029999999966
2010-07-22,26157.810000000096
2010-07-23,25102.99000000005
2010-07-25,17252.10000000007
2010-07-26,22796.269999999975
2010-07-27,26808.420000000075
2010-07-28,22982.000000000167
2010-07-29,34214.59000000007
2010-07-30,15692.300000000007
2010-08-01,30424.500000000025
2010-08-02,28982.540000000074
2010-08-03,26167.049999999996
2010-08-04,20624.20999999995
2010-08-05,23642.48000000008
2010-08-06,13645.209999999994
2010-08-08,14072.780000000015
2010-08-09,30884.33000000006
2010-08-10,34859.59
2010-08-11,21705.01999999996
2010-08-12,26697.410000000058
2010-08-13,36419.19000000006
2010-08-15,22016.98000000007
2010-08-16,20697.230000000018
2010-08-17,29989.010000000013
2010-08-18,37205.74999999982
2010-08-19,32624.300000000083
2010-08-20,25096.219999999965
2010-08-22,22703.210000000072
2010-08-23,21635.770000000048
2010-08-24,25468.880000000067
2010-08-25,30184.580000000034
2010-08-26,34606.93000000002
2010-08-29,14503.430000000018
2010-08-31,33603.239999999954
2010-09-01,22449.09999999997
2010-09-02,34760.66999999998
2010-09-03,36853.650000000125
2010-09-05,12370.7
2010-09-06,28546.57999999997
2010-09-07,27481.50999999999
2010-09-08,17422.900000000016
2010-09-09,23892.67000000002
2010-09-10,16553.520000000037
2010-09-12,15754.340000000017
2010-09-13,38184.3100000001
2010-09-14,21158.140000000047
2010-09-15,34557.67000000004
2010-09-16,26386.141000000105
2010-09-17,20453.130000000067
2010-09-19,23081.19000000006
2010-09-20,41699.62000000009
2010-09-21,61871.32999999991
2010-09-22,29604.740000000023
2010-09-23,36179.87999999996
2010-09-24,47665.38999999997
2010-09-26,21364.570000000025
2010-09-27,97814.69999999997
2010-09-28,33757.070000000065
2010-09-29,37750.23999999998
2010-09-30,46036.66999999994
2010-10-01,37751.000000000095
2010-10-03,38542.45000000007
2010-10-04,39071.090000000186
2010-10-05,53656.67000000009
2010-10-06,29985.44000000008
2010-10-07,52054.970000000045
2010-10-08,59501.470000000016
2010-10-10,23117.33000000012
2010-10-11,43093.90999999973
2010-10-12,49281.53999999985
2010-10-13,53125.55999999988
2010-10-14,86077.64999999992
2010-10-15,44510.119999999995
2010-10-17,32992.15000000025
2010-10-18,39594.54999999999
2010-10-19,44128.77000000013
2010-10-20,5799.660000000135
2010-10-21,38641.889999999934
2010-10-22,38915.350000000144
2010-10-24,28769.800000000094
2010-10-25,29146.11000000001
2010-10-26,45460.08999999981
2010-10-27,32917.19000000011
2010-10-28,23322.019999999997
2010-10-29,45431.299999999675
2010-10-31,30280.270000000266
2010-11-01,27173.320000000058
2010-11-02,41335.20000000002
2010-11-03,44283.089999999975
2010-11-04,88738.30999999939
2010-11-05,46070.07999999985
2010-11-07,31782.870000000254
2010-11-08,83788.85099999984
2010-11-09,58143.23999999971
2010-11-10,79721.71999999954
2010-11-11,61133.28999999977
2010-11-12,50597.03000000018
2010-11-14,29333.48000000013
2010-11-15,104983.54999999984
2010-11-16,71633.72000000028
2010-11-17,51233.61099999989
2010-11-18,44515.65999999969
2010-11-19,47210.63000000001
2010-11-21,32353.92000000018
2010-11-22,43078.55999999981
2010-11-23,53776.25000000032
2010-11-24,58089.979999999654
2010-11-25,71788.17999999953
2010-11-26,40206.44999999995
2010-11-28,27088.600000000155
2010-11-29,79069.76999999995
2010-11-30,55525.27999999962
2010-12-01,117271.12000000016
2010-12-02,92414.55999999851
2010-12-03,91240.91999999876
2010-12-05,62767.89999999894
2010-12-06,107720.35999999948
2010-12-07,90118.10000000214
2010-12-08,88379.67999999992
2010-12-09,105064.26000000027
2010-12-10,57404.91000000017
2010-12-12,17240.92000000005
2010-12-13,35379.34000000009
2010-12-14,42843.2900000002
2010-12-15,29443.69000000013
2010-12-16,48334.34999999993
2010-12-17,43534.19000000001
2010-12-19,7517.309999999991
2010-12-20,24741.750000000015
2010-12-21,47097.939999999915
2010-12-22,6134.569999999999
2010-12-23,11796.310000000025
2011-01-04,14950.480000000014
2011-01-06,37392.73999999999
2011-01-07,27233.140000000065
2011-01-09,15710.800000000023
2011-01-10,24191.639999999996
2011-01-11,67817.1300000002
2011-01-12,23958.77999999998
2011-01-13,20533.540000000005
2011-01-14,47377.2600000001
2011-01-16,7116.609999999981
2011-01-17,29256.000000000295
2011-01-18,18680.800000000003
2011-01-19,25585.81000000013
2011-01-20,17995.909999999974
2011-01-21,31978.440000000188
2011-01-23,10285.94999999997
2011-01-24,25555.620000000134
2011-01-25,27971.520000000113
2011-01-26,19493.320000000065
2011-01-27,21092.140000000076
2011-01-28,18567.76999999999
2011-01-30,6456.439999999991
2011-01-31,22364.650000000107
2011-02-01,28433.220000000023
2011-02-02,21048.45000000002
2011-02-03,23344.580000000096
2011-02-04,24994.170000000042
2011-02-06,3457.1099999999965
2011-02-07,25525.989999999983
2011-02-08,20728.14000000004
2011-02-09,16692.579999999976
2011-02-10,13427.539999999994
2011-02-11,20387.279999999984
2011-02-13,5535.399999999994
2011-02-14,26222.030000000173
2011-02-15,36842.58000000006
2011-02-16,24730.810000000085
2011-02-17,26361.87000000019
2011-02-18,15928.399999999987
2011-02-20,9578.890000000032
2011-02-21,23807.830000000176
2011-02-22,32292.62000000012
2011-02-23,26792.76000000015
2011-02-24,22655.830000000096
2011-02-25,18029.840000000007
2011-02-27,9491.049999999981
2011-02-28,21753.680000000186
2011-03-01,25471.71000000005
2011-03-02,18296.45
2011-03-03,35842.62000000009
2011-03-04,19474.8700000001
2011-03-06,9596.229999999987
2011-03-07,30525.58000000021
2011-03-08,25017.47000000018
2011-03-09,21907.120000000094
2011-03-10,25597.890000000112
2011-03-11,21995.28000000005
2011-03-13,4137.619999999995
2011-03-14,25864.590000000066
2011-03-15,20660.029999999955
2011-03-16,21182.640000000065
2011-03-17,38804.25000000005
2011-03-18,16770.459999999995
2011-03-20,21980.640000000098
2011-03-21,16370.270000000037
2011-03-22,31312.350000000228
2011-03-23,24029.070000000098
2011-03-24,36562.1000000001
2011-03-25,30656.03000000007
2011-03-27,8979.979999999996
2011-03-28,19207.030000000002
2011-03-29,70531.46999999978
2011-03-30,31489.25000000013
2011-03-31,31004.080000000187
2011-04-01,24391.78000000006
2011-04-03,6878.0999999999985
2011-04-04,25073.020000000182
2011-04-05,28353.83000000014
2011-04-06,17279.350000000064
2011-04-07,18229.00000000011
2011-04-08,23299.140000000112
2011-04-10,9363.879999999972
2011-04-11,22110.310000000063
2011-04-12,25124.250000000084
2011-04-13,23898.200000000023
2011-04-14,35295.580000000075
2011-04-15,28327.130999999976
2011-04-17,12704.299999999994
2011-04-18,32185.610000000288
2011-04-19,23837.650000000183
2011-04-20,28239.390000000025
2011-04-21,31198.60000000008
2011-04-26,30585.54000000015
2011-04-27,25590.56000000002
2011-04-28,21241.900000000063
2011-05-01,6964.659999999997
2011-05-03,19617.860000000135
2011-05-04,27462.300000000097
2011-05-05,28750.650000000238
2011-05-06,35714.58000000002
2011-05-08,18808.920000000046
2011-05-09,26060.43000000019
2011-05-10,45564.119999999915
2011-05-11,33240.36000000021
2011-05-12,59911.969999999856
2011-05-13,30744.07000000008
2011-05-15,9924.280000000004
2011-05-16,25279.77000000014
2011-05-17,53603.82999999985
2011-05-18,34337.29000000008
2011-05-19,34348.750000000015
2011-05-20,26256.520000000062
2011-05-22,24205.370000000046
2011-05-23,30739.550000000087
2011-05-24,37028.910000000054
2011-05-25,24152.280000000075
2011-05-26,33208.590000000026
2011-05-27,28232.19000000009
2011-05-29,7208.299999999988
2011-05-31,21967.96000000007
2011-06-01,20191.200000000124
2011-06-02,32502.010000000162
2011-06-03,16750.999999999996
2011-06-05,25520.35000000011
2011-06-06,16791.39
2011-06-07,37644.30000000004
2011-06-08,42940.90999999982
2011-06-09,45515.75000000025
2011-06-10,22540.659999999985
2011-06-12,12483.85999999999
2011-06-13,20372.930000000055
2011-06-14,40211.93000000002
2011-06-15,46139.179999999906
2011-06-16,34131.730000000054
2011-06-17,20800.72000000004
2011-06-19,22360.010000000104
2011-06-20,33493.4000000001
2011-06-21,22730.010000000064
2011-06-22,21794.940000000057
2011-06-23,24273.31000000014
2011-06-24,8619.880000000003
2011-06-26,6175.169999999984
2011-06-27,16823.859999999997
2011-06-28,34704.64000000011
2011-06-29,21775.43
2011-06-30,43834.550000000076
2011-07-01,13171.82000000001
2011-07-03,5977.139999999991
2011-07-04,44154.750000000226
2011-07-05,40334.9700000001
2011-07-06,26279.580000000125
2011-07-07,31357.72000000012
2011-07-08,26840.08000000012
2011-07-10,5692.069999999985
2011-07-11,22429.530000000123
2011-07-12,25892.040000000077
2011-07-13,11612.049999999948
2011-07-14,32575.960000000163
2011-07-15,14478.929999999933
2011-07-17,17174.660000000036
2011-07-18,28443.27000000024
2011-07-19,49316.780000000035
2011-07-20,27305.41000000014
2011-07-21,30957.06999999999
2011-07-22,20015.229999999978
2011-07-24,26476.200000000048
2011-07-25,26687.650000000176
2011-07-26,21271.30100000004
2011-07-27,25568.450000000106
2011-07-28,55706.880000000034
2011-07-29,18094.209999999955
2011-07-31,33486.359999999986
2011-08-01,21362.840000000022
2011-08-02,14947.269999999933
2011-08-03,27075.020000000168
2011-08-04,61028.6500000001
2011-08-05,21298.300000000094
2011-08-07,7464.1199999999935
2011-08-08,19987.149999999994
2011-08-09,26623.20000000008
2011-08-10,27474.220000000118
2011-08-11,72132.7900000002
2011-08-12,10049.47999999996
2011-08-14,5150.179999999998
2011-08-15,17205.54
2011-08-16,19103.710000000032
2011-08-17,49392.21999999998
2011-08-18,53225.669999999955
2011-08-19,17248.539999999994
2011-08-21,14549.210000000008
2011-08-22,27978.41000000003
2011-08-23,25756.30000000006
2011-08-24,37074.900000000045
2011-08-25,22458.880000000034
2011-08-26,25550.229999999978
2011-08-28,10784.779999999977
2011-08-30,31640.900000000096
2011-08-31,16117.999999999998
2011-09-01,37296.60000000006
2011-09-02,41745.07000000001
2011-09-04,17018.489999999998
2011-09-05,36844.04000000002
2011-09-06,28052.62000000006
2011-09-07,34125.65000000011
2011-09-08,26708.000000000106
2011-09-09,29317.690000000068
2011-09-11,35465.47000000012
2011-09-12,29039.310000000096
2011-09-13,54828.45000000007
2011-09-14,23360.660000000134
2011-09-15,62943.80999999994
2011-09-16,25858.060000000034
2011-09-18,15692.330000000029
2011-09-19,46212.21000000002
2011-09-20,109286.20999999993
2011-09-21,42944.070000000014
2011-09-22,57076.83000000002
2011-09-23,39426.48000000004
2011-09-25,31210.921000000104
2011-09-26,28642.27100000011
2011-09-27,35752.159999999916
2011-09-28,43383.03999999988
2011-09-29,43464.33000000008
2011-09-30,43992.84999999993
2011-10-02,11623.580000000014
2011-10-03,64214.78
2011-10-04,48240.839999999895
2011-10-05,75244.42999999986
2011-10-06,55306.27999999994
2011-10-07,47538.019999999815
2011-10-09,11922.239999999993
2011-10-10,44265.89000000009
2011-10-11,38267.75000000006
2011-10-12,29302.850000000173
2011-10-13,37067.17000000006
2011-10-14,35225.53999999997
2011-10-16,21605.440000000053
2011-10-17,47064.139999999956
2011-10-18,44637.84000000008
2011-10-19,36003.43000000002
2011-10-20,60793.13999999962
2011-10-21,62961.25999999998
2011-10-23,12302.410000000013
2011-10-24,38407.719999999965
2011-10-25,40807.49000000003
2011-10-26,37842.07999999995
2011-10-27,47480.1499999999
2011-10-28,39559.47000000007
2011-10-30,34545.28000000011
2011-10-31,48475.450000000164
2011-11-01,28741.55000000017
2011-11-02,45239.05999999982
2011-11-03,62816.54999999997
2011-11-04,60081.75999999989
2011-11-06,42912.400000000176
2011-11-07,70001.08000000009
2011-11-08,56647.659999999814
2011-11-09,62599.42999999966
2011-11-10,68956.24000000003
2011-11-11,54835.509999999995
2011-11-13,33520.22000000013
2011-11-14,112141.10999999994
2011-11-15,60594.229999999865
2011-11-16,64408.7000000001
2011-11-17,60329.719999999776
2011-11-18,48031.80000000006
2011-11-20,34902.01000000015
2011-11-21,48302.499999999796
2011-11-22,62307.31999999994
2011-11-23,78480.6999999997
2011-11-24,48080.27999999996
2011-11-25,50442.72000000002
2011-11-27,20571.500000000084
2011-11-28,55442.01999999994
2011-11-29,72219.2
2011-11-30,59150.97999999988
2011-12-01,51410.94999999973
2011-12-02,57086.059999999874
2011-12-04,24565.78000000009
2011-12-05,57751.31999999973
2011-12-06,54228.37000000012
2011-12-07,75076.21999999965
2011-12-08,81417.77999999982
2011-12-09,32149.529999999988
